#GRM219R61C226ME15,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC0.5Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.08,0.4657497028812907,
0.16,0.7631772451295538,
0.24,0.898676420125355,
0.32,0.8792596059420843,
0.4,0.71244517740785,
0.48,0.4061498168817179,
0.56,-0.031413230751642374,
0.64,-0.5918291531162523,
0.72,-1.2665692324512867,
0.8,-2.04707079486921,
0.88,-2.9248092483426524,
0.96,-3.8913621700672807,
1.04,-4.938465540355597,
1.12,-6.058062334653758,
1.2,-7.242343778615523,
1.28,-8.48378364476866,
1.36,-9.775166024780912,
1.44,-11.109607050457914,
1.52,-12.480571061249623,
1.6,-13.881881728091916,
1.68,-15.30772864471338,
1.76,-16.752669889863448,
1.84,-18.21163104892577,
1.92,-19.679901162596014,
2.0,-21.15312604510472,
2.08,-22.627299386081468,
2.16,-24.0987520196583,
2.24,-25.56413971272118,
2.32,-27.02042979211733,
2.4,-28.464886898758945,
2.48,-29.89505812545149,
2.56,-31.308757765329943,
2.64,-32.70405186931955,
2.72,-34.07924278427603,
2.8000000000000003,-35.43285381855483,
2.88,-36.763614158797374,
2.96,-38.070444140740165,
3.04,-39.35244095784294,
3.12,-40.60886487445144,
3.2,-41.83912599498988,
3.2800000000000002,-43.04277162722991,
3.36,-44.219474265900836,
3.44,-45.36902021267865,
3.52,-46.49129883979932,
3.6,-47.58629249706418,
3.68,-48.65406705572202,
3.7600000000000002,-49.694763077505044,
3.84,-50.708587592853036,
3.92,-51.69580646897218,
4.0,-52.65673734574081,
4.08,-53.59174311550268,
4.16,-54.501225921387,
4.24,-55.38562164788847,
4.32,-56.245394876954705,
4.4,-57.08103428269844,
4.48,-57.893048438018205,
4.5600000000000005,-58.68196200682346,
4.64,-59.448312296170336,
4.72,-60.19264614338169,
4.8,-60.915517114117854,
4.88,-61.617482988346,
4.96,-62.29910351220684,
5.04,-62.960938394867426,
5.12,-63.60354553056757,
5.2,-64.22747942718998,
5.28,-64.83328982380426,
5.36,-65.42152048074034,
5.44,-65.99270812682265,
5.5200000000000005,-66.54738154944721,
5.6000000000000005,-67.08606081419319,
5.68,-67.60925660162994,
5.76,-68.117469649909,
5.84,-68.61119029260993,
5.92,-69.09089808214372,
6.0,-69.55706148980705,
6.08,-70.01013767431994,
6.16,-70.45057231137714,
6.24,-70.87879947739235,
6.32,-71.2952415812237,
6.4,-71.70030933823325,
6.48,-72.09440178155847,
6.5600000000000005,-72.47790630596113,
6.640000000000001,-72.85119874006868,
6.72,-73.21464344323965,
6.8,-73.56859342366545,
6.88,-73.91339047467567,
6.96,-74.24936532653523,
7.04,-74.57683781131715,
7.12,-74.89611703870679,
7.2,-75.20750158083929,
7.28,-75.51127966449455,
7.36,-75.80772936918244,
7.44,-76.09711882983092,
7.5200000000000005,-76.3797064429599,
7.6000000000000005,-76.65574107537387,
7.68,-76.92546227454072,
7.76,-77.18910047994623,
7.84,-77.44687723482322,
7.92,-77.69900539774915,
8.0,-77.9456893536925,
8.08,-78.1871252241647,
8.16,-78.42350107619816,
8.24,-78.65499712993199,
8.32,-78.88178596463416,
8.4,-79.10403272303503,
8.48,-79.32189531388056,
8.56,-79.5355246126466,
8.64,-79.7450646603826,
8.72,-79.95065286066885,
8.8,-80.15242017469518,
8.88,-80.35049131447634,
8.96,-80.5449849342314,
9.040000000000001,-80.73601381996133,
9.120000000000001,-80.92368507726235,
9.200000000000001,-81.10810031741508,
9.28,-81.2893558417885,
9.36,-81.46754282459871,
9.44,-81.64274749405713,
9.52,-81.81505131193923,
9.6,-81.98453115160301,
9.68,-82.15125947447765,
9.76,-82.31530450504036,
9.84,-82.47673040429054,
9.92,-82.63559744172912,
10.0,-82.79196216584207,
10.08,-82.94587757308325,
10.16,-83.09739327534689,
10.24,-83.24655566591703,
10.32,-83.3934080838774,
10.4,-83.53799097696032,
10.48,-83.68034206281652,
10.56,-83.82049648868232,
10.64,-83.9584869894222,
10.72,-84.09434404392717,
10.8,-84.22809602984734,
10.88,-84.35976937664739,
10.96,-84.48938871696762,
11.040000000000001,-84.61697703628727,
11.120000000000001,-84.7425558208866,
11.200000000000001,-84.86614520411213,
11.28,-84.98776411095949,
11.36,-85.10743040099344,
11.44,-85.2251610096304,
11.52,-85.34097208783055,
11.6,-85.45487914023778,
11.68,-85.56689716183206,
11.76,-85.67704077316334,
11.84,-85.7853243542422,
11.92,-85.89176217718216,
12.0,-85.99636853769235,
12.08,-86.09915788553117,
12.16,-86.2001449540451,
12.24,-86.29934488892165,
12.32,-86.39677337629499,
12.4,-86.49244677035591,
12.48,-86.58638222061825,
12.56,-86.67859779900137,
12.64,-86.76911262689812,
12.72,-86.85794700239018,
12.8,-86.94512252778463,
12.88,-87.03066223763504,
12.96,-87.11459072741353,
13.040000000000001,-87.19693428298999,
13.120000000000001,-87.27772101106706,
13.200000000000001,-87.35698097070764,
13.280000000000001,-87.43474630607552,
13.36,-87.5110513804879,
13.44,-87.58593291185882,
13.52,-87.65943010958222,
13.6,-87.73158481286697,
13.68,-87.80244163050249,
13.76,-87.87204808198648,
13.84,-87.9404547398933,
13.92,-88.00771537330834,
14.0,-88.07388709208739,
14.08,-88.13903049162303,
14.16,-88.20320979772694,
14.24,-88.26649301114392,
14.32,-88.32895205111664,
14.4,-88.39066289730388,
14.48,-88.45170572926008,
14.56,-88.51216506252617,
14.64,-88.57212988026892,
14.72,-88.63169375924319,
14.8,-88.69095498869846,
14.88,-88.75001668067482,
14.96,-88.8089868699641,
15.040000000000001,-88.86797860180756,
15.120000000000001,-88.92711000521106,
15.200000000000001,-88.98650434955442,
15.280000000000001,-89.04629008193689,
15.36,-89.10660084250792,
15.44,-89.1675754547832,
15.52,-89.22935788773253,
15.6,-89.29209718620065,
15.68,-89.35594736600024,
15.76,-89.42106726980857,
15.84,-89.4876203798003,
15.92,-89.55577458278175,
16.0,-89.62570188342428,
