#GRM21BR61H106ME43,,
#2025/02/24,,
#c_dcbias_capchange,,
#capchange  25.0degC  AC1Vrms,,
DC Bias[V],Cap. Change Rate[%],
0.0,0.0,
0.25,-0.06916352603654197,
0.5,-0.4819276356469282,
0.75,-1.2111341360375394,
1.0,-2.2280113258843937,
1.25,-3.502896864205407,
1.5,-5.005880504789751,
1.75,-6.707360459156053,
2.0,-8.578511373982678,
2.25,-10.59166536858951,
2.5,-12.720610275752797,
2.75,-14.940811207129755,
3.0,-17.229562893045745,
3.25,-19.566081012253655,
3.5,-21.931541024813427,
3.75,-24.3090729449312,
4.0,-26.683720129816535,
4.25,-29.042369596138673,
4.5,-31.373660677647173,
4.75,-33.66787806467858,
5.0,-35.91683446591214,
5.25,-38.113747341465235,
5.5,-40.25311340120097,
5.75,-42.33058386158377,
6.0,-44.34284282022456,
6.25,-46.287490545438246,
6.5,-48.16293299034733,
6.75,-49.96827842569347,
7.0,-51.70324173863444,
7.25,-53.368056660958096,
7.5,-54.96339596300401,
7.75,-56.49029947242573,
8.0,-57.95010964301939,
8.25,-59.344414301701946,
8.5,-60.67499613529801,
8.75,-61.94378843757562,
9.0,-63.152836616053506,
9.25,-64.30426495318547,
9.5,-65.40024812392058,
9.75,-66.442986988211,
10.0,-67.43468820018734,
10.25,-68.37754720330838,
10.5,-69.27373421109186,
10.75,-70.1253828046833,
11.0,-70.93458081045887,
11.25,-71.70336315228849,
11.5,-72.43370640341509,
11.75,-73.12752479172725,
12.0,-73.78666743924096,
12.25,-74.41291664170438,
12.5,-75.00798701732447,
12.75,-75.57352537467963,
13.0,-76.11111116897398,
13.25,-76.62225743298295,
13.5,-77.1084120844412,
13.75,-77.5709595253526,
14.0,-78.01122246088129,
14.25,-78.43046387624796,
14.5,-78.82988911953191,
14.75,-79.21064804659382,
15.0,-79.57383719160755,
15.25,-79.92050193303176,
15.5,-80.25163863036968,
15.75,-80.56819671185357,
16.0,-80.87108069733485,
16.25,-81.1611521442439,
16.5,-81.43923150757144,
16.75,-81.70609990748115,
17.0,-81.96250080044777,
17.25,-82.20914155177064,
17.5,-82.44669490898666,
17.75,-82.67580037713213,
18.0,-82.89706549801416,
18.25,-83.11106703667261,
18.5,-83.31835207907278,
18.75,-83.51943904577573,
19.0,-83.71481862691554,
19.25,-83.90495464427501,
19.5,-84.09028484660814,
19.75,-84.27122164462058,
20.0,-84.44815279219054,
20.25,-84.6214420205034,
20.5,-84.79142963178707,
20.75,-84.95843305927528,
21.0,-85.122747399902,
21.25,-85.28464592603655,
21.5,-85.44438058232238,
21.75,-85.60218247337463,
22.0,-85.7582623477348,
22.25,-85.91281108307646,
22.5,-86.06600017721,
22.75,-86.21798224894955,
23.0,-86.36889155239363,
23.25,-86.51884450762682,
23.5,-86.66794025029589,
23.75,-86.81626120194097,
24.0,-86.96387366238653,
24.25,-87.11082842492442,
24.5,-87.25716141445683,
24.75,-87.40289434821686,
25.0,-87.54803541816032,
25.25,-87.69257999362627,
25.5,-87.83651134239952,
25.75,-87.97980136789401,
26.0,-88.1224113597958,
26.25,-88.26429275518291,
26.5,-88.40538790686804,
26.75,-88.54563085549422,
27.0,-88.68494810175591,
27.25,-88.82325937501739,
27.5,-88.96047839455987,
27.75,-89.09651361970505,
28.0,-89.23126898512997,
28.25,-89.36464461781495,
28.5,-89.49653753223762,
28.75,-89.62684230064272,
29.0,-89.75545169548029,
29.25,-89.88225730139256,
29.5,-90.00715009446697,
29.75,-90.13002098681255,
30.0,-90.2507613349004,
30.25,-90.36926341048868,
30.5,-90.48542083335605,
30.75,-90.5991289654655,
31.0,-90.71028526658904,
31.25,-90.81878961182345,
31.5,-90.92454457181347,
31.75,-91.02745565689635,
32.0,-91.12743152673724,
32.25,-91.22438416739325,
32.5,-91.31822903807654,
32.75,-91.40888519021755,
33.0,-91.4962753617294,
33.25,-91.58032604967433,
33.5,-91.6609675648029,
33.75,-91.73813407170083,
34.0,-91.81176361852971,
34.25,-91.88179816058445,
34.5,-91.94818358212835,
34.75,-92.01086972118331,
35.0,-92.06981040218861,
35.25,-92.12496348165202,
35.5,-92.17629091215251,
35.75,-92.22375883026727,
36.0,-92.26733767423957,
36.25,-92.3070023374302,
36.5,-92.342732363833,
36.75,-92.37451219218354,
37.0,-92.40233145541426,
37.25,-92.42618534245747,
37.5,-92.44607502960483,
37.75,-92.46200818882883,
38.0,-92.47399958064365,
38.25,-92.48207173917696,
38.5,-92.48625575717911,
38.75,-92.48659217864285,
39.0,-92.4831320065319,
39.25,-92.47593783279727,
39.5,-92.46508509734778,
39.75,-92.45066348188469,
40.0,-92.43277844348047,
40.25,-92.41155289139714,
40.5,-92.38712900884542,
40.75,-92.35967021912816,
41.0,-92.32936329277098,
41.25,-92.29642058878616,
41.5,-92.26108241903587,
41.75,-92.22361951964632,
42.0,-92.18433560754707,
42.25,-92.14356999336087,
42.5,-92.10170021394765,
42.75,-92.0591446389707,
43.0,-92.01636499575774,
43.25,-91.97386874560594,
43.5,-91.93221123252947,
43.75,-91.89199751244612,
44.0,-91.85388375714862,
44.25,-91.81857811342337,
44.5,-91.78684088380045,
44.75,-91.75948388221028,
45.0,-91.73736880597515,
45.25,-91.72140445597948,
45.5,-91.71254263058152,
45.75,-91.71177251699791,
46.0,-91.72011340800505,
46.25,-91.73860558318229,
46.5,-91.76829921433473,
46.75,-91.81024118557082,
47.0,-91.86545976152092,
47.25,-91.93494709343891,
47.5,-92.01963962365302,
47.75,-92.12039653426952,
48.0,-92.2379764860423,
48.25,-92.37301300662628,
48.5,-92.52598901166789,
48.75,-92.69721107358079,
49.0,-92.8867841862256,
49.25,-93.09458790203313,
49.5,-93.32025483310254,
49.75,-93.56315259938485,
50.0,-93.82237036439182,
